Startpoint,Endpoint,Slack
 instr[4] (input port clocked by clk), riscv/dp/_19677_ (falling edge-triggered flip-flop clocked by clk'),52.21
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19729_ (falling edge-triggered flip-flop clocked by clk'),-47.99
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19025_ (falling edge-triggered flip-flop clocked by clk'),-47.53
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19857_ (falling edge-triggered flip-flop clocked by clk'),-48.53
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19473_ (falling edge-triggered flip-flop clocked by clk'),-48.36
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19441_ (falling edge-triggered flip-flop clocked by clk'),-47.79
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18993_ (falling edge-triggered flip-flop clocked by clk'),-48.52
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19505_ (falling edge-triggered flip-flop clocked by clk'),-47.10
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19057_ (falling edge-triggered flip-flop clocked by clk'),-48.21
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19313_ (falling edge-triggered flip-flop clocked by clk'),-47.39
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19217_ (falling edge-triggered flip-flop clocked by clk'),-48.37
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19089_ (falling edge-triggered flip-flop clocked by clk'),-48.23
 instr[4] (input port clocked by clk), riscv/dp/_19197_ (falling edge-triggered flip-flop clocked by clk'),51.05
 instr[4] (input port clocked by clk), riscv/dp/_18909_ (falling edge-triggered flip-flop clocked by clk'),50.64
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19633_ (falling edge-triggered flip-flop clocked by clk'),-48.10
 instr[4] (input port clocked by clk), riscv/dp/_19421_ (falling edge-triggered flip-flop clocked by clk'),51.00
 instr[4] (input port clocked by clk), riscv/dp/_19261_ (falling edge-triggered flip-flop clocked by clk'),51.03
 instr[4] (input port clocked by clk), riscv/dp/_19293_ (falling edge-triggered flip-flop clocked by clk'),51.18
 instr[4] (input port clocked by clk), riscv/dp/_18941_ (falling edge-triggered flip-flop clocked by clk'),52.44
 instr[4] (input port clocked by clk), riscv/dp/_19549_ (falling edge-triggered flip-flop clocked by clk'),50.66
 instr[4] (input port clocked by clk), riscv/dp/_19581_ (falling edge-triggered flip-flop clocked by clk'),51.33
